	Date	Intensity
111	(05-29) 18:46:09	102.16160583496094
112	(05-29) 18:46:13	102.16160583496094
113	(05-29) 18:46:17	102.16160583496094
114	(05-29) 18:46:21	102.16160583496094
115	(05-29) 18:46:25	102.16160583496094
116	(05-29) 18:46:29	102.16160583496094
117	(05-29) 18:46:33	102.16160583496094
118	(05-29) 18:46:37	102.16160583496094
119	(05-29) 18:46:41	102.16160583496094
120	(05-29) 18:46:45	102.16160583496094
121	(05-29) 18:46:52	102.16160583496094
122	(05-29) 18:46:53	102.16160583496094
123	(05-29) 18:46:57	102.16160583496094
124	(05-29) 18:47:01	102.16160583496094
125	(05-29) 18:47:05	102.16160583496094
126	(05-29) 18:47:09	99.61227544148763
127	(05-29) 18:47:13	99.61227544148763
128	(05-29) 18:47:17	99.61227544148763
129	(05-29) 18:47:21	99.61227544148763
130	(05-29) 18:47:25	99.61227544148763
131	(05-29) 18:47:29	99.61227544148763
132	(05-29) 18:47:33	99.61227544148763
133	(05-29) 18:47:37	99.61227544148763
134	(05-29) 18:47:41	99.61227544148763
135	(05-29) 18:47:45	99.61227544148763
136	(05-29) 18:47:49	99.61227544148763
137	(05-29) 18:47:53	99.61227544148763
138	(05-29) 18:47:57	99.61227544148763
139	(05-29) 18:48:01	99.61227544148763
140	(05-29) 18:48:05	99.61227544148763
141	(05-29) 18:48:09	99.36764907836914
142	(05-29) 18:48:13	99.36764907836914
143	(05-29) 18:48:17	99.36764907836914
144	(05-29) 18:48:21	99.36764907836914
145	(05-29) 18:48:25	99.36764907836914
146	(05-29) 18:48:29	99.36764907836914
147	(05-29) 18:48:33	99.36764907836914
148	(05-29) 18:48:37	99.36764907836914
149	(05-29) 18:48:44	99.36764907836914
150	(05-29) 18:48:45	99.36764907836914
151	(05-29) 18:48:49	99.36764907836914
152	(05-29) 18:48:53	99.36764907836914
153	(05-29) 18:48:57	99.36764907836914
154	(05-29) 18:49:01	99.36764907836914
155	(05-29) 18:49:06	99.36764907836914
156	(05-29) 18:49:11	99.36764907836914
157	(05-29) 18:49:13	99.372132619222
158	(05-29) 18:49:17	99.372132619222
159	(05-29) 18:49:21	99.372132619222
160	(05-29) 18:49:25	99.372132619222
161	(05-29) 18:49:29	99.372132619222
162	(05-29) 18:49:33	99.372132619222
