,Date,Intensity
126,(05-29) 20:06:05,93.84603627522786
127,(05-29) 20:06:09,91.94052251180013
128,(05-29) 20:06:13,91.94052251180013
129,(05-29) 20:06:17,91.94052251180013
130,(05-29) 20:06:21,91.94052251180013
131,(05-29) 20:06:26,91.94052251180013
132,(05-29) 20:06:30,91.94052251180013
133,(05-29) 20:06:34,91.94052251180013
134,(05-29) 20:06:38,91.94052251180013
135,(05-29) 20:06:42,91.94052251180013
136,(05-29) 20:06:46,91.94052251180013
137,(05-29) 20:06:50,91.94052251180013
138,(05-29) 20:06:54,91.94052251180013
139,(05-29) 20:06:58,91.94052251180013
140,(05-29) 20:07:02,91.94052251180013
141,(05-29) 20:07:06,91.94052251180013
142,(05-29) 20:07:10,91.83012517293294
143,(05-29) 20:07:14,91.83012517293294
144,(05-29) 20:07:18,91.83012517293294
